,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Action'}),frozenset({'2D'}),0.34689725330620547,0.14038657171922686,0.14038657171922686,0.404692082111437,2.8826979472140764,0.09168685558875245,1.4439811775553877
1,frozenset({'2D'}),frozenset({'Action'}),0.14038657171922686,0.34689725330620547,0.14038657171922686,1.0,2.8826979472140764,0.09168685558875245,inf
2,frozenset({'2D'}),frozenset({'Fighting'}),0.14038657171922686,0.03458799593082401,0.021363173957273652,0.15217391304347824,4.399616368286444,0.0165074837859067,1.138691081722618
3,frozenset({'Fighting'}),frozenset({'2D'}),0.03458799593082401,0.14038657171922686,0.021363173957273652,0.6176470588235293,4.399616368286444,0.0165074837859067,2.24821973550356
4,frozenset({'2D'}),frozenset({'Platformer'}),0.14038657171922686,0.1363173957273652,0.11393692777212615,0.8115942028985508,5.953709712308026,0.09479979592026816,4.584161514985524
5,frozenset({'Platformer'}),frozenset({'2D'}),0.1363173957273652,0.14038657171922686,0.11393692777212615,0.8358208955223881,5.953709712308026,0.09479979592026816,5.235827244982893
6,frozenset({'3D'}),frozenset({'Action'}),0.07121057985757884,0.34689725330620547,0.0681586978636826,0.9571428571428572,2.7591537494763303,0.0434559433047463,15.239064089521888
7,frozenset({'Action'}),frozenset({'3D'}),0.34689725330620547,0.07121057985757884,0.0681586978636826,0.1964809384164223,2.7591537494763303,0.0434559433047463,1.155902161564108
8,frozenset({'3D'}),"frozenset({""Beat-'Em-Up""})",0.07121057985757884,0.03458799593082401,0.027466937945066123,0.38571428571428573,11.151680672268906,0.025003906698720567,1.571600936856798
9,"frozenset({""Beat-'Em-Up""})",frozenset({'3D'}),0.03458799593082401,0.07121057985757884,0.027466937945066123,0.7941176470588234,11.151680672268906,0.025003906698720567,4.511262897834613
10,frozenset({'3D'}),frozenset({'Fighting'}),0.07121057985757884,0.03458799593082401,0.01627670396744659,0.22857142857142856,6.6084033613445365,0.013813672721101036,1.2514600052748577
11,frozenset({'Fighting'}),frozenset({'3D'}),0.03458799593082401,0.07121057985757884,0.01627670396744659,0.4705882352941176,6.608403361344537,0.013813672721101036,1.7543800158245728
12,frozenset({'3D'}),frozenset({'Platformer'}),0.07121057985757884,0.1363173957273652,0.024415055951169887,0.34285714285714286,2.515138592750533,0.014707815156749172,1.3142996151974877
13,frozenset({'Platformer'}),frozenset({'3D'}),0.1363173957273652,0.07121057985757884,0.024415055951169887,0.1791044776119403,2.515138592750533,0.014707815156749172,1.131434384537131
14,frozenset({'Action'}),"frozenset({""Beat-'Em-Up""})",0.34689725330620547,0.03458799593082401,0.03458799593082401,0.09970674486803521,2.882697947214077,0.02258951514505495,1.0723305973537103
15,"frozenset({""Beat-'Em-Up""})",frozenset({'Action'}),0.03458799593082401,0.34689725330620547,0.03458799593082401,1.0,2.8826979472140764,0.02258951514505495,inf
16,frozenset({'Action'}),frozenset({'Fighting'}),0.34689725330620547,0.03458799593082401,0.03458799593082401,0.09970674486803521,2.882697947214077,0.02258951514505495,1.0723305973537103
17,frozenset({'Fighting'}),frozenset({'Action'}),0.03458799593082401,0.34689725330620547,0.03458799593082401,1.0,2.8826979472140764,0.02258951514505495,inf
18,frozenset({'Action'}),frozenset({'First-Person'}),0.34689725330620547,0.017293997965412006,0.013224821973550356,0.03812316715542522,2.204416077281352,0.007225581580665825,1.0216547155298612
19,frozenset({'First-Person'}),frozenset({'Action'}),0.017293997965412006,0.34689725330620547,0.013224821973550356,0.7647058823529411,2.2044160772813526,0.007225581580665825,2.775686673448626
20,frozenset({'Action'}),frozenset({'Music'}),0.34689725330620547,0.028484231943031537,0.026449643947100712,0.07624633431085044,2.676790950984499,0.01656854212352619,1.0517043711346865
21,frozenset({'Music'}),frozenset({'Action'}),0.028484231943031537,0.34689725330620547,0.026449643947100712,0.9285714285714285,2.676790950984499,0.01656854212352619,9.143438453713113
22,frozenset({'Music Maker'}),frozenset({'Action'}),0.01017293997965412,0.34689725330620547,0.01017293997965412,1.0,2.8826979472140764,0.00664397504266322,inf
23,frozenset({'Action'}),frozenset({'Music Maker'}),0.34689725330620547,0.01017293997965412,0.01017293997965412,0.029325513196480944,2.882697947214077,0.00664397504266322,1.0197312008064592
24,frozenset({'Action'}),frozenset({'Platformer'}),0.34689725330620547,0.1363173957273652,0.1363173957273652,0.3929618768328446,2.882697947214077,0.08902926557168714,1.4227814881979155
25,frozenset({'Platformer'}),frozenset({'Action'}),0.1363173957273652,0.34689725330620547,0.1363173957273652,1.0,2.8826979472140764,0.08902926557168714,inf
26,frozenset({'Rhythm'}),frozenset({'Action'}),0.029501525940996948,0.34689725330620547,0.026449643947100712,0.896551724137931,2.584487814743655,0.0162156456298271,6.313326551373348
27,frozenset({'Action'}),frozenset({'Rhythm'}),0.34689725330620547,0.029501525940996948,0.026449643947100712,0.07624633431085044,2.5844878147436545,0.0162156456298271,1.0506031100130795
28,frozenset({'Action'}),frozenset({'Sci-Fi'}),0.34689725330620547,0.017293997965412006,0.011190233977619531,0.03225806451612903,1.8652751423149903,0.0051909935847350005,1.0154628687690743
29,frozenset({'Sci-Fi'}),frozenset({'Action'}),0.017293997965412006,0.34689725330620547,0.011190233977619531,0.6470588235294117,1.8652751423149905,0.0051909935847350005,1.8504577822990842
30,frozenset({'Action'}),frozenset({'Shooter'}),0.34689725330620547,0.03662258392675483,0.03662258392675483,0.10557184750733138,2.8826979472140764,0.023918310153587592,1.0770875373146773
31,frozenset({'Shooter'}),frozenset({'Action'}),0.03662258392675483,0.34689725330620547,0.03662258392675483,1.0,2.8826979472140764,0.023918310153587592,inf
32,frozenset({'Action'}),frozenset({'Third-Person'}),0.34689725330620547,0.014242115971515769,0.01017293997965412,0.029325513196480944,2.059069962295769,0.00523238906786686,1.0155390889840274
