,meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
0,,Super Mario 3D World + Bowser's Fury,Switch,"Feb 12, 2021",,/game/switch/super-mario-3d-world-+-bowsers-fury,,['Nintendo'],"['3D', 'Action', 'Platformer']"
1,,Super Smash Bros. Ultimate: Sephiroth,Switch,"Dec 22, 2020",,/game/switch/super-smash-bros-ultimate-sephiroth,,['Nintendo'],"['Action', '2D', 'Fighting']"
2,66.0,Fitness Boxing 2: Rhythm & Exercise,Switch,"Dec 4, 2020",6.2,/game/switch/fitness-boxing-2-rhythm-exercise,E,"['Nintendo', ' Imagineer Co.', 'Ltd.']","['Exercise / Fitness', 'Miscellaneous']"
3,63.0,Fire Emblem: Shadow Dragon & the Blade of Light,Switch,"Dec 4, 2020",7.6,/game/switch/fire-emblem-shadow-dragon-the-blade-of-light,E,['Intelligent Systems'],"['Turn-Based', 'Tactics', 'Strategy']"
4,79.0,Hyrule Warriors: Age of Calamity,Switch,"Nov 20, 2020",8.1,/game/switch/hyrule-warriors-age-of-calamity,T,"['Omega Force', ' Koei Tecmo Games']","['3D', 'Action', ""Beat-'Em-Up""]"
5,,Pokemon Sword + Pokemon Sword Expansion Pass,Switch,"Nov 6, 2020",6.7,/game/switch/pokemon-sword-+-pokemon-sword-expansion-pass,E,['Game Freak'],"['Role-Playing', 'Trainer']"
6,,Pokemon Shield + Pokemon Shield Expansion Pass,Switch,"Nov 6, 2020",6.6,/game/switch/pokemon-shield-+-pokemon-shield-expansion-pass,E,['Game Freak'],"['Role-Playing', 'Trainer']"
7,85.0,Pikmin 3 Deluxe,Switch,"Oct 30, 2020",8.4,/game/switch/pikmin-3-deluxe,E10+,"['Eighting', ' Nintendo']","['Real-Time', 'Strategy', 'General']"
8,79.0,Part Time UFO,Switch,"Oct 28, 2020",7.3,/game/switch/part-time-ufo,E10+,['HAL Labs'],"['Action', 'Arcade']"
9,,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition,Switch,"Oct 23, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---complete-edition,E,['Brace Yourself Games'],"['Rhythm', 'Action', 'Music']"
10,75.0,Pokemon Sword / Shield: The Crown Tundra,Switch,"Oct 22, 2020",7.4,/game/switch/pokemon-sword-shield-the-crown-tundra,,['Game Freak'],"['Role-Playing', 'Trainer']"
11,75.0,Mario Kart Live: Home Circuit,Switch,"Oct 16, 2020",7.3,/game/switch/mario-kart-live-home-circuit,E,"['Nintendo', ' Velan Studios']","['Arcade', 'Racing', 'Automobile']"
12,,Super Smash Bros. Ultimate: Steve & Alex,Switch,"Oct 13, 2020",9.3,/game/switch/super-smash-bros-ultimate-steve-alex,E10+,['Nintendo'],"['Action', '2D', 'Fighting']"
13,,Mario Kart 8 Deluxe + Super Mario Party,Switch,"Oct 4, 2020",,/game/switch/mario-kart-8-deluxe-+-super-mario-party,E,['Nintendo'],"['Compilation', 'Miscellaneous']"
14,75.0,Super Mario Bros. 35,Switch,"Oct 1, 2020",7.5,/game/switch/super-mario-bros-35,,['Nintendo'],"['Action', '2D', 'Platformer']"
15,,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 3 Story Pack: Symphony of the Mask,Switch,"Sep 23, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-3-story-pack-symphony-of-the-mask,E,['Brace Yourself Games'],"['Rhythm', 'Action', 'Music']"
16,65.0,Kirby Fighters 2,Switch,"Sep 23, 2020",7.9,/game/switch/kirby-fighters-2,,"['Nintendo', ' HAL Labs']","['Action', '2D', 'Fighting']"
17,82.0,Super Mario 3D All-Stars,Switch,"Sep 18, 2020",6.3,/game/switch/super-mario-3d-all-stars,E,['Nintendo'],"['Compilation', 'Miscellaneous']"
18,,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 2 Melody Pack,Switch,"Aug 26, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-2-melody-pack,E,['Brace Yourself Games'],"['Rhythm', 'Action', 'Music']"
19,,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 1 Character Pack,Switch,"Jul 20, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-1-character-pack,E,['Brace Yourself Games'],"['Rhythm', 'Action', 'Music']"
20,80.0,Paper Mario: The Origami King,Switch,"Jul 17, 2020",7.0,/game/switch/paper-mario-the-origami-king,E,['Intelligent Systems'],"['Role-Playing', 'General']"
21,,Super Smash Bros. Ultimate: Min Min,Switch,"Jun 29, 2020",7.8,/game/switch/super-smash-bros-ultimate-min-min,,['Nintendo'],"['Action', '2D', 'Fighting']"
22,64.0,Pokemon Cafe Mix,Switch,"Jun 23, 2020",7.7,/game/switch/pokemon-cafe-mix,E,['The Pokemon Company'],"['Puzzle', 'Matching']"
23,69.0,Pokemon Sword / Shield: The Isle of Armor,Switch,"Jun 17, 2020",5.3,/game/switch/pokemon-sword-shield-the-isle-of-armor,E,['Game Freak'],"['Role-Playing', 'Trainer']"
24,,Jump Rope Challenge,Switch,"Jun 15, 2020",7.4,/game/switch/jump-rope-challenge,,['Nintendo'],"['Action', 'General']"
25,82.0,Clubhouse Games: 51 Worldwide Classics,Switch,"Jun 5, 2020",7.8,/game/switch/clubhouse-games-51-worldwide-classics,E,"['Nintendo', ' Nd Cube']","['Party / Minigame', 'Miscellaneous']"
26,89.0,Xenoblade Chronicles: Definitive Edition,Switch,"May 29, 2020",8.9,/game/switch/xenoblade-chronicles-definitive-edition,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
27,,Arcade Archives: Vs. Wrecking Crew,Switch,"May 1, 2020",,/game/switch/arcade-archives-vs-wrecking-crew,E,['Nintendo'],"['Action', '2D', 'Platformer']"
28,,Marvel Ultimate Alliance 3: The Black Order - Expansion 3 - Fantastic Four: Shadow of Doom,Switch,"Mar 26, 2020",,/game/switch/marvel-ultimate-alliance-3-the-black-order---expansion-3---fantastic-four-shadow-of-doom,T,['Team Ninja'],"['Role-Playing', 'Action RPG']"
29,78.0,Good Job!,Switch,"Mar 26, 2020",7.7,/game/switch/good-job!,E,"['Nintendo', ' Paladin Studios']","['Action', 'General']"
30,90.0,Animal Crossing: New Horizons,Switch,"Mar 20, 2020",5.5,/game/switch/animal-crossing-new-horizons,E,['Nintendo'],"['Simulation', 'Virtual', 'Virtual Life']"
31,68.0,Pokemon Mystery Dungeon: Rescue Team DX,Switch,"Mar 6, 2020",8.2,/game/switch/pokemon-mystery-dungeon-rescue-team-dx,E,['Spike Chunsoft'],"['Role-Playing', 'Roguelike']"
32,,Luigi's Mansion 3: Multiplayer Pack 1 & 2,Switch,"Mar 4, 2020",,/game/switch/luigis-mansion-3-multiplayer-pack-1-2,,['Next Level Games'],"['General', 'Action Adventure']"
33,75.0,Fire Emblem: Three Houses - Side Story: Cindered Shadows,Switch,"Feb 13, 2020",7.6,/game/switch/fire-emblem-three-houses---side-story-cindered-shadows,T,['Intelligent Systems'],"['Turn-Based', 'Tactics', 'Strategy']"
34,,Pokemon HOME,iOS,"Feb 11, 2020",,/game/ios/pokemon-home,,['Game Freak'],"['Miscellaneous', 'Application']"
35,,Pokemon HOME,Switch,"Feb 11, 2020",2.0,/game/switch/pokemon-home,E,['Game Freak'],"['Miscellaneous', 'Application']"
36,,Super Smash Bros. Ultimate: Byleth,Switch,"Jan 28, 2020",6.6,/game/switch/super-smash-bros-ultimate-byleth,E10+,['Nintendo'],"['Action', '2D', 'Fighting']"
37,81.0,Tokyo Mirage Sessions #FE Encore,Switch,"Jan 17, 2020",6.2,/game/switch/tokyo-mirage-sessions-fe-encore,T,['Atlus'],"['Role-Playing', 'Japanese-Style']"
38,64.0,Dr. Kawashima's Brain Training for Nintendo Switch,Switch,"Jan 3, 2020",5.9,/game/switch/dr-kawashimas-brain-training-for-nintendo-switch,,['Nintendo'],"['Miscellaneous', 'Edutainment']"
39,,Arcade Archives: Vs. Balloon Fight,Switch,"Dec 27, 2019",,/game/switch/arcade-archives-vs-balloon-fight,E,['Nintendo'],"['Action', 'Arcade']"
40,,Marvel Ultimate Alliance 3: The Black Order - Expansion 2: Rise of the Phoenix,Switch,"Dec 23, 2019",,/game/switch/marvel-ultimate-alliance-3-the-black-order---expansion-2-rise-of-the-phoenix,T,['Team Ninja'],"['Role-Playing', 'Action RPG']"
41,80.0,Pokemon Shield,Switch,"Nov 15, 2019",4.6,/game/switch/pokemon-shield,E,['Game Freak'],"['Role-Playing', 'Trainer']"
42,80.0,Pokemon Sword,Switch,"Nov 15, 2019",4.6,/game/switch/pokemon-sword,E,['Game Freak'],"['Role-Playing', 'Trainer']"
43,80.0,Pokemon Sword / Shield Dual Pack,Switch,"Nov 15, 2019",4.3,/game/switch/pokemon-sword-shield-dual-pack,E,['Game Freak'],"['Role-Playing', 'Trainer']"
44,73.0,Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy - Deluxe Edition,Switch,"Nov 8, 2019",7.2,/game/switch/laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy---deluxe-edition,E10+,['Level 5'],"['Puzzle', 'General']"
